1,page,CLASSIC AN VINTAGE,,,Quantity (oz),,,
289,148,PIÑA COLADA,EL DORADO 151 RUM,RUM (DEMERARA OVERPROOF),0.5,"Short shake all the ingredients with 3 ice cubes,",,
290,148,PIÑA COLADA,EL DORADO 3-YEAR RUM,RUM (DEMERARA WHITE),0.5,then strain into a coconut mug filled with crushed,,
291,148,PIÑA COLADA,KALANI RON DE COCO COCONUT LIQUEUR,LIQUEUR (COCONUT),0.09375,ice. Garnish with the mint bouquet and serve with,,
292,148,PIÑA COLADA,PINEAPPLE JUICE,JUICE (PINEAPPLE),1,a straw.,,
293,148,PIÑA COLADA,LIME JUICE,JUICE (LIME),0.5,,,
294,148,PIÑA COLADA,COCO LOPEZ,CREAM (COCONUT),0.75,,,
295,148,PIÑA COLADA,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.0625,,,
296,,,,,,,,
297,148,PING-PONG COCKTAIL,PLYMOUTH SLOE GIN,GIN (SLOE),2,GARNISH: 1 LEMON TWIST,,
298,148,PING-PONG COCKTAIL,DOLIN DRY VERMOUTH,VERMOUTH (DRY),0.5,"Stir all the ingredients over ice, then strain into a",,
299,148,PING-PONG COCKTAIL,PUNT E MES,VERMOUTH (SWEET),0.5,coupe. Garnish with the lemon twist.,,
300,148,PING-PONG COCKTAIL,HOUSE ORANGE BITTERS,BITTERS (ORANGE),0.0625,,,
301,,,,,,,,
302,148,PINK LADY,PLYMOUTH GIN,GIN (PLYMOUTH),1.5,GARNISH: 3 BRANDIED CHERRIES ON A,,
303,148,PINK LADY,LAIRD’S BONDED APPLE BRANDY,BRANDY (APPLE),0.5,COCKTAIL PICK,,
304,148,PINK LADY,LEMON JUICE,JUICE (LEMON),0.75,"Dry shake all the ingredients, then shake again",,
305,148,PINK LADY,ACACIA HONEY SYRUP,SYRUP (HONEY),0.75,"with ice. Double strain into a rocks glass over 1,",,
306,148,PINK LADY,GRENADINE,SYRUP (GRENADINE),0.25,large ice cube. Garnish with the cherries.,,
307,148,PINK LADY,EGG WHITE,EGG (WHITE),1,,,
308,,,,,,,,
309,149,PISCO SOUR,CAMPO DE ENCANTO ACHOLADO PISCO,BRANDY (PISCO),2,GARNISH: 3 DROPS ANGOSTURA BITTERS,,
310,149,PISCO SOUR,LEMON JUICE,JUICE (LEMON),0.5,"Dry shake all the ingredients, then shake again",,
311,149,PISCO SOUR,LIME JUICE,JUICE (LIME),0.5,with ice. Double strain into a coupe. Garnish with,,
312,149,PISCO SOUR,SIMPLE SYRUP,SYRUP (SIMPLE),0.75,the bitters.,,
313,149,PISCO SOUR,EGG WHITE,EGG (WHITE),1,,,
314,,,,,,,,
315,149,PORT AU PRINCE,BARBANCOURT 3-STAR RUM,RUM (AGRICOLE AMBRE),1,GARNISH: 1 PINEAPPLE AND BRANDIED,,
316,149,PORT AU PRINCE,EL DORADO 3-YEAR RUM,RUM (DEMERARA WHITE),1,CHERRY FLAG,,
317,149,PORT AU PRINCE,LEMON HART 151 RUM,RUM (DEMERARA OVERPROOF),0.25,"Short shake all the ingredients with 3 ice cubes,",,
318,149,PORT AU PRINCE,VELVET FALERNUM,LIQUEUR (FALERNUM),0.75,then strain into a pilsner glass filled with crushed,,
319,149,PORT AU PRINCE,LIME JUICE,JUICE (LIME),0.75,ice. Garnish with the pineapple and cherry flag.,,
320,149,PORT AU PRINCE,PINEAPPLE JUICE,JUICE (PINEAPPLE),0.5,,,
321,149,PORT AU PRINCE,GRENADINE,SYRUP (GRENADINE),0.25,,,
322,149,PORT AU PRINCE,GINGER SYRUP,SYRUP (GINGER),0.166667,,,
323,149,PORT AU PRINCE,BITTERMENS ’ELEMAKULE TIKI BITTERS,BITTERS (TIKI),0.0101442,,,
324,,,,,,,,
325,149,PREAKNESS,OLD GRAND-DAD 114 BOURBON,WHISKEY (BOURBON),1.5,GARNISH: 1 ORANGE TWIST,,
326,149,PREAKNESS,CARPANO ANTICA FORMULA VERMOUTH,VERMOUTH (SWEET),0.75,"Stir all the ingredients over ice, then strain into a",,
327,149,PREAKNESS,BÉNÉDICTINE,LIQUEUR (BÉNÉDICTINE),0.25,coupe. Garnish with the orange twist.,,
328,149,PREAKNESS,BITTER TRUTH AROMATIC BITTERS,BITTERS (AROMATIC),0.03125,,,
329,,,,,,,,
330,150,QUEEN’S PARK SWIZZLE,MINT LEAVES,MINT,10 sprigs,GARNISH: 1 MINT SPRIG,,
331,150,QUEEN’S PARK SWIZZLE,SIMPLE SYRUP,SYRUP (SIMPLE),0.75,"In a shaker, gently muddle the mint with the",,
332,150,QUEEN’S PARK SWIZZLE,WHITE SUGAR CUBE,SUGAR CUBE,0.25,simple syrup and sugar cube. Add the rum and,,
333,150,QUEEN’S PARK SWIZZLE,CAÑA BRAVA RUM,RUM (SPANISH WHITE),2,lime juice and whip (shake with a few pieces of,,
334,150,QUEEN’S PARK SWIZZLE,LIME JUICE,JUICE (LIME),1,crushed ice just until the ingredients are,,
335,150,QUEEN’S PARK SWIZZLE,HOUSE PEYCHAUD’S BITTERS,BITTERS (CREOLE),0.125,incorporated). Dump into a pilsner glass filled with,,
336,150,QUEEN’S PARK SWIZZLE,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.125,"crushed ice. Swizzle until cold, then top with the",,
337,,,,,,bitters and swizzle them into the top of the drink.,,
338,,,,,,Garnish with the mint sprig and serve with a,,
339,,,,,,straw.,,
340,,,,,,,,
341,150,RAMOS GIN FIZZ,PLYMOUTH GIN,GIN (PLYMOUTH),2,Dry shake all the ingredients (except the club,,
342,150,RAMOS GIN FIZZ,LEMON JUICE,JUICE (LEMON),0.5,"soda), then fill the shaker with ice cubes and",,
343,150,RAMOS GIN FIZZ,LIME JUICE,JUICE (LIME),0.5,shake until the tin is almost too cold to hold.,,
344,150,RAMOS GIN FIZZ,SIMPLE SYRUP,SYRUP (SIMPLE),1,Double strain into a highball glass and let rest for,,
345,150,RAMOS GIN FIZZ,HEAVY CREAM,CREAM (HEAVY),1,"3,0 seconds, then slowly top with club soda. Serve",,
346,150,RAMOS GIN FIZZ,EGG WHITE,EGG (WHITE),1,with a straw. No garnish.,,
347,150,RAMOS GIN FIZZ,ORANGE FLOWER WATER,OTHER (ORANGE FLOWER WATER),0.0101442,,,
348,150,RAMOS GIN FIZZ,CLUB SODA,SODA,2,,,
349,,,,,,,,
350,150,REMEMBER THE MAINE,VIEUX PONTARLIER ABSINTHE,ABSINTHE,rinse,GARNISH: 1 LEMON TWIST,,
351,150,REMEMBER THE MAINE,RITTENHOUSE 100 RYE,WHISKEY (RYE),2,Rinse a Nick & Nora glass with absinthe and,,
352,150,REMEMBER THE MAINE,COCCHI VERMOUTH DI TORINO,VERMOUTH (SWEET),0.75,"dump. Stir the remaining ingredients over ice, then",,
353,150,REMEMBER THE MAINE,CHERRY HEERING,CHERRY HEERING,0.25,strain into the glass. Garnish with the lemon twist.,,
354,150,REMEMBER THE MAINE,MASSENEZ KIRSCH VIEUX CHERRY BRANDY,BRANDY (CHERRY),0.25,,,
355,150,REMEMBER THE MAINE,VIEUX PONTARLIER ABSINTHE,ABSINTHE,0.0625,,,
356,,,,,,,,
357,150,ROB ROY,COMPASS BOX ASYLA SCOTCH,WHISKEY (SCOTCH BLENDED),2,GARNISH: 2 BRANDIED CHERRIES ON A,,
358,150,ROB ROY,CARPANO ANTICA FORMULA VERMOUTH,VERMOUTH (SWEET),0.75,COCKTAIL PICK,,
359,150,ROB ROY,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.0625,"Stir all the ingredients over ice, then strain into a",,
360,,,,,,coupe. Garnish with the cherries.,,
361,,,,,,,,
362,150,RUM JULEP,LEMON HART 151 RUM,RUM (DEMERARA OVERPROOF),0.75,GARNISH: 1 MINT BOUQUET,,
363,150,RUM JULEP,LEMON HART ORIGINAL RUM,RUM (DEMERARA),0.75,"Short shake all the ingredients with 3 ice cubes,",,
364,150,RUM JULEP,APPLETON ESTATE V/X RUM,RUM (JAMAICAN),0.5,then strain into a julep tin filled with crushed ice.,,
365,150,RUM JULEP,VELVET FALERNUM,LIQUEUR (FALERNUM),0.25,Garnish with the mint bouquet.,,
366,150,RUM JULEP,DONN’S SPICES #2,MIX (DONN’S SPICES #2),0.25,,,
367,150,RUM JULEP,ORANGE JUICE,JUICE (ORANGE),0.5,,,
368,150,RUM JULEP,LIME JUICE,JUICE (LIME),0.5,,,
369,150,RUM JULEP,ACACIA HONEY SYRUP,SYRUP (HONEY),0.5,,,
370,,,,,,,,
371,151,RUSTY NAIL,SPRINGBANK 10-YEAR SCOTCH,WHISKEY (SCOTCH CAMPBELTOWN),2,GARNISH: 1 LEMON TWIST,,
372,151,RUSTY NAIL,DRAMBUIE,LIQUEUR (DRAMBUIE),0.75,"Stir all the ingredients over ice, then strain into a",,
373,151,RUSTY NAIL,BITTER TRUTH AROMATIC BITTERS,BITTERS (AROMATIC),0.03125,"double rocks glass over 1, large ice cube. Garnish",,
374,,,,,,with the lemon twist.,,
375,,,,,,,,
376,151,SAZERAC,VIEUX PONTARLIER ABSINTHE,ABSINTHE,rinse,Rinse a rocks glass with absinthe and dump. Stir,,
377,151,SAZERAC,RITTENHOUSE 100 RYE,WHISKEY (RYE),1.5,the remaining ingredients (except the lemon twist),,
378,151,SAZERAC,PIERRE FERRAND 1840 COGNAC,BRANDY (GRAPE),0.5,"over ice, then strain into the glass. Squeeze the",,
379,151,SAZERAC,DEMERARA SYRUP,SYRUP (DEMERARA),0.166667,lemon twist over the drink and discard. No,,
380,151,SAZERAC,PEYCHAUD’S BITTERS,BITTERS (CREOLE),0.125,garnish.,,
381,151,SAZERAC,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,,,
382,151,SAZERAC,LEMON TWIST,TWIST (LEMON),1 twist,,,
383,,,,,,,,
384,151,SCOFFLAW,TEMPLETON RYE,WHISKEY (RYE),1.5,"Shake all the ingredients with ice, then strain into",,
385,151,SCOFFLAW,DOLIN BLANC VERMOUTH,VERMOUTH (BLANC),0.5,a coupe. No garnish.,,
386,151,SCOFFLAW,DOLIN DRY VERMOUTH,VERMOUTH (DRY),0.5,,,
387,151,SCOFFLAW,LEMON JUICE,JUICE (LEMON),0.5,,,
388,151,SCOFFLAW,GRENADINE,SYRUP (GRENADINE),0.5,,,
389,,,,,,,,
390,151,SIDECAR,PIERRE FERRAND 1840 COGNAC,BRANDY (GRAPE),2,GARNISH: 1 ORANGE TWIST,,
391,151,SIDECAR,COINTREAU,LIQUEUR (ORANGE),0.5,"Shake all the ingredients with ice, then strain into",,
392,151,SIDECAR,LEMON JUICE,JUICE (LEMON),0.75,a coupe. Garnish with the orange twist.,,
393,151,SIDECAR,CANE SUGAR SYRUP,SYRUP (CANE SUGAR),0.25,,,
394,,,,,,,,
395,151,SINGAPORE SLING,BEEFEATER LONDON DRY GIN,GIN (LONDON DRY),1.5,"GARNISH: 1, PINEAPPLE AND BRANDIED",,
396,151,SINGAPORE SLING,CHERRY HEERING,CHERRY HEERING,0.5,CHERRY FLAG,,
397,151,SINGAPORE SLING,COINTREAU,LIQUEUR (ORANGE),0.25,"Short shake all the ingredients with 3 ice cubes,",,
398,151,SINGAPORE SLING,BÉNÉDICTINE,LIQUEUR (BÉNÉDICTINE),0.25,then strain into a highball glass filled with ice,,
399,151,SINGAPORE SLING,PINEAPPLE JUICE,JUICE (PINEAPPLE),2,cubes. Garnish with the pineapple and cherry flag.,,
400,151,SINGAPORE SLING,LIME JUICE,JUICE (LIME),0.5,,,
401,151,SINGAPORE SLING,GRENADINE,SYRUP (GRENADINE),0.5,,,
402,151,SINGAPORE SLING,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,,,
403,,,,,,,,
404,151,SOUTH SIDE,MINT LEAVES,MINT,5 sprigs,GARNISH: 1 MINT LEAF,,
405,151,SOUTH SIDE,BEEFEATER LONDON DRY GIN,GIN (LONDON DRY),2,"In a cocktail shaker, gently muddle the mint. Add",,
406,151,SOUTH SIDE,LIME JUICE,JUICE (LIME),0.75,"the remaining ingredients, shake with ice, and",,
407,151,SOUTH SIDE,CANE SUGAR SYRUP,SYRUP (CANE SUGAR),0.5,strain into a coupe. Garnish with a mint leaf.,,
408,151,SOUTH SIDE,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,,,
409,,,,,,,,
410,152,STINGER,PIERRE FERRAND 1840 COGNAC,BRANDY (GRAPE),2,GARNISH: 1 MINT SPRIG,,
411,152,STINGER,MARIE BRIZARD WHITE CRÈME DE MENTHE,LIQUEUR (CRÈME DE MENTHE),0.5,"Short shake all the ingredients with 3 ice cubes,",,
412,152,STINGER,SIMPLE SYRUP,SYRUP (SIMPLE),0.166667,then strain into a double rocks glass filled with,,
413,,,,,,crushed ice. Garnish with the mint sprig and serve,,
414,,,,,,with a straw.,,
415,,,,,,,,
416,152,TAILSPIN,CAMPARI,AMARO (APERITIVO),rinse,GARNISH: 1 LEMON TWIST,,
417,152,TAILSPIN,BEEFEATER LONDON DRY GIN,GIN (LONDON DRY),1.5,Rinse a coupe with Campari and dump. Stir the,,
418,152,TAILSPIN,CARPANO ANTICA FORMULA VERMOUTH,VERMOUTH (SWEET),1,"remaining ingredients over ice, then strain into the",,
419,152,TAILSPIN,GREEN CHARTREUSE,CHARTREUSE (GREEN),1,coupe. Garnish with the lemon twist.,,
420,152,TAILSPIN,HOUSE ORANGE BITTERS,BITTERS (ORANGE),0.03125,,,
421,,,,,,,,
422,152,TI PUNCH,LIME JUICE,JUICE (LIME),0.5,"In a double rocks glass, muddle the lime and cane",,
423,152,TI PUNCH,CANE SUGAR SYRUP,SYRUP (CANE SUGAR),0.166667,syrup until the lime is well juiced. Add the rum,,
424,152,TI PUNCH,LA FAVORITE RHUM AGRICOLE BLANC,RUM (AGRICOLE BLANC),2,and cracked ice and stir until cold. No garnish.,,
425,,,,,,,,
426,152,TOM COLLINS,BEEFEATER LONDON DRY GIN,GIN (LONDON DRY),2,GARNISH: 1 ORANGE CRESCENT AND CHERRY,,
427,152,TOM COLLINS,LEMON JUICE,JUICE (LEMON),1,FLAG,,
428,152,TOM COLLINS,SIMPLE SYRUP,SYRUP (SIMPLE),0.75,Short shake all the ingredients (except the club,,
429,152,TOM COLLINS,CLUB SODA,SODA,remainder,"soda) with 3 ice cubes, then strain into a highball",,
430,,,,,,glass filled with ice cubes. Top with club soda.,,
431,,,,,,Garnish with the orange crescent and cherry flag,,
432,,,,,,and serve with a straw.,,
433,,,,,,,,
434,152,TORONTO,RITTENHOUSE 100 RYE,WHISKEY (RYE),2,GARNISH: 1 LEMON TWIST,,
435,152,TORONTO,FERNET-BRANCA,AMARO (FERNET),0.5,"Stir all the ingredients over ice, then strain into a",,
436,152,TORONTO,DEMERARA SYRUP,SYRUP (DEMERARA),0.166667,Nick & Nora glass. Garnish with the lemon twist.,,
437,,,,,,,,
438,152,VESPER,PLYMOUTH GIN,GIN (PLYMOUTH),1.5,GARNISH: 1 LEMON TWIST,,
439,152,VESPER,CHARBAY VODKA,VODKA,0.75,"Stir all the ingredients over ice, then strain into a",,
440,152,VESPER,COCCHI AMERICANO,APERITIF (COCCHI AMERICANO),0.5,Nick & Nora glass. Garnish with the lemon twist.,,
441,,,,,,,,
442,153,VIEUX CARRÉ,RITTENHOUSE 100 RYE,WHISKEY (RYE),1,GARNISH: 1 LEMON TWIST,,
443,153,VIEUX CARRÉ,PIERRE FERRAND AMBRE COGNAC,BRANDY (GRAPE),1,"Stir all the ingredients over ice, then strain into a",,
444,153,VIEUX CARRÉ,CARPANO ANTICA FORMULA VERMOUTH,VERMOUTH (SWEET),1,double rocks glass. Garnish with the lemon twist.,,
445,153,VIEUX CARRÉ,BÉNÉDICTINE,LIQUEUR (BÉNÉDICTINE),0.166667,,,
446,153,VIEUX CARRÉ,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,,,
447,153,VIEUX CARRÉ,HOUSE PEYCHAUD’S BITTERS,BITTERS (CREOLE),0.03125,,,
448,,,,,,,,
449,153,WARD 8,OLD OVERHOLT RYE,WHISKEY (RYE),2,"Shake all the ingredients with ice, then strain into",,
450,153,WARD 8,LEMON JUICE,JUICE (LEMON),0.5,a coupe. No garnish.,,
451,153,WARD 8,ORANGE JUICE,JUICE (ORANGE),0.5,,,
452,153,WARD 8,SIMPLE SYRUP,SYRUP (SIMPLE),0.5,,,
453,153,WARD 8,POMEGRANATE MOLASSES,OTHER (POMEGRANATE MOLASSES),0.166667,,,
454,,,,,,,,
455,153,WHISKEY SOUR,BUFFALO TRACE BOURBON,WHISKEY (BOURBON),2,GARNISH: 1 DASH ANGOSTURA BITTERS AND,,
456,153,WHISKEY SOUR,LEMON JUICE,JUICE (LEMON),0.75,1 ORANGE CRESCENT AND CHERRY FLAG,,
457,153,WHISKEY SOUR,SIMPLE SYRUP,SYRUP (SIMPLE),0.75,"Dry shake all the ingredients, then shake again",,
458,153,WHISKEY SOUR,EGG WHITE,EGG (WHITE),1,with ice. Double strain into a double rocks glass,,
459,153,WHISKEY SOUR,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,"over 1, large ice cube. Add a DASH, of bitters on",,
460,,,,,,top and garnish with the orange and cherry flag.,,
461,,,,,,,,
462,153,ZOMBIE PUNCH,APPLETON ESTATE V/X RUM,RUM (JAMAICAN),1.5,GARNISH: 1 MINT SPRIG,,
463,153,ZOMBIE PUNCH,RON DEL BARRILITO 3-STAR RUM,RUM (SPANISH),1.5,"Shake all the ingredients with 2 ice cubes, then",,
464,153,ZOMBIE PUNCH,LEMON HART 151 RUM,RUM (DEMERARA OVERPROOF),1,strain into a tiki mug filled with crushed ice.,,
465,153,ZOMBIE PUNCH,ZOMBIE MIX,MIX (ZOMBIE MIX),0.75,Garnish with the mint sprig.,,
466,153,ZOMBIE PUNCH,DONN’S SPICES #2,MIX (DONN’S SPICES #2),0.5,,,
467,153,ZOMBIE PUNCH,LIME JUICE,JUICE (LIME),0.75,,,
468,153,ZOMBIE PUNCH,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,,,
469,,,,,,,,
470,,GIN SHAKEN,,,,,,
471,,,,,,,,
472,154,ANJOU MAMA,SMALL RIPE ANJOU PEAR SLICES,FRUIT (PEAR),3 slices,"GARNISH: 1, LEMON WHEEL",JILLIAN VOSE 2013,
473,154,ANJOU MAMA,PENNYROYAL-INFUSED HAYMAN’S OLD TOM GIN,GIN (OLD TOM),1,"In a shaker, muddle the pear slices. Add the",,
474,154,ANJOU MAMA,TANQUERAY NO. TEN GIN,GIN (LONDON DRY),1,"remaining ingredients and shake with ice, then",,
475,154,ANJOU MAMA,LEMON JUICE,JUICE (LEMON),0.75,strain into a Nick & Nora glass. Garnish with the,,
476,154,ANJOU MAMA,ORGEAT,SYRUP (ORGEAT),0.25,lemon wheel.,,
477,154,ANJOU MAMA,CINNAMON BARK SYRUP,SYRUP (CINNAMON),0.25,,,
478,154,ANJOU MAMA,ACACIA HONEY SYRUP,SYRUP (HONEY),0.25,,,
479,,,,,,,,
480,154,BELLA LUNA,PLYMOUTH GIN,GIN (PLYMOUTH),2,"Shake all the ingredients with ice, then strain into",BRIAN MILLER 2009,
481,154,BELLA LUNA,ST-GERMAIN,LIQUEUR (ELDERFLOWER),0.75,a port glass. No garnish.,,
482,154,BELLA LUNA,CRÈME YVETTE,LIQUEUR (CRÈME YVETTE),0.5,,,
483,154,BELLA LUNA,LEMON JUICE,JUICE (LEMON),0.75,,,
484,154,BELLA LUNA,SIMPLE SYRUP,SYRUP (SIMPLE),0.166667,,,
485,,,,,,,,
486,154,CÁDIZ COLLINS,ORANGE WHEEL,FRUIT (ORANGE),1 wheel,GARNISH: 1 ORANGE CRESCENT,ALEX DAY 2008,
487,154,CÁDIZ COLLINS,FEE BROTHERS WHISKEY BARREL-AGED BITTERS,BITTERS (AROMATIC),0.09375,"In a shaker, muddle the orange wheel and bitters.",This is my way to get more people to drink,
488,154,CÁDIZ COLLINS,PLYMOUTH GIN,GIN (PLYMOUTH),2,Add the remaining ingredients (except the club,sherry in cocktails. The bitters and orange,
489,154,CÁDIZ COLLINS,LUSTAU AMONTILLADO SHERRY,SHERRY (AMONTILLADO),0.75,"soda) and shake with ice, then strain into a",bring out the sherry’s spice flavors.—AD,
490,154,CÁDIZ COLLINS,LEMON JUICE,JUICE (LEMON),0.5,highball glass filled with ice cubes. Top with club,,
491,154,CÁDIZ COLLINS,DEMERARA SYRUP,SYRUP (DEMERARA),0.5,soda. Garnish with the orange crescent and serve,,
492,154,CÁDIZ COLLINS,CLUB SODA,SODA,remainder,with a straw.,,
493,,,,,,,,
494,155,CITY OF GOLD SLING,HAYMAN’S OLD TOM GIN,GIN (OLD TOM),1.5,"GARNISH: 1, PINEAPPLE WEDGE",JOAQUÍN SIMÓ 2009,
495,155,CITY OF GOLD SLING,EL DORADO 12-YEAR RUM,RUM (DEMERARA),0.5,"Shake all the ingredients with ice, then strain into","A handful of tiki-style drinks are gin based,",
496,155,CITY OF GOLD SLING,DONN’S SPICES #2,MIX (DONN’S SPICES #2),0.75,a highball glass filled with ice cubes. Garnish with,most famously the Singapore Sling. This is a,
497,155,CITY OF GOLD SLING,VIEUX PONTARLIER ABSINTHE,ABSINTHE,0.03125,the pineapple wedge.,variation on that classic.—JS,
498,155,CITY OF GOLD SLING,PINEAPPLE JUICE,JUICE (PINEAPPLE),1,,,
499,155,CITY OF GOLD SLING,LIME JUICE,JUICE (LIME),0.5,,,
500,155,CITY OF GOLD SLING,ORGEAT,SYRUP (ORGEAT),0.25,,,
501,155,CITY OF GOLD SLING,HOUSE PEYCHAUD’S BITTERS,BITTERS (CREOLE),0.03125,,,
502,,,,,,,,
503,155,THE COMMANDANT,PERRY’S TOT NAVY-STRENGTH GIN,GIN (AMERICAN),1.5,GARNISH: 1 LIME WHEEL,TYSON BUHLER 2013,
504,155,THE COMMANDANT,KRONAN SWEDISH PUNSCH,LIQUEUR (SWEDISH PUNSCH),0.5,"Short shake all the ingredients with 3 ice cubes,",Kaffir lime is a great way to add brightness to,
505,155,THE COMMANDANT,VELVET FALERNUM,LIQUEUR (FALERNUM),0.25,then strain into a coconut mug filled with crushed,summer cocktails. The gin in this drink was,
506,155,THE COMMANDANT,LIME JUICE,JUICE (LIME),0.75,ice. Garnish with the lime wheel and serve with a,"named after Matthew Perry—not the actor, but",
507,155,THE COMMANDANT,COCO LOPEZ,CREAM (COCONUT),0.5,straw.,the original commandant of the Brooklyn Navy,
508,155,THE COMMANDANT,SMALL FRESH KAFFIR LIME LEAF,LEAF (KAFFIR LIME),1 leaf,,Yard from 1841 to 1843.—TB,
509,,,,,,,,
510,,,,,,,,
511,155,FRISCO CLUB,PLYMOUTH GIN,GIN (PLYMOUTH),2,Shake all the ingredients (except the grapefruit,THOMAS WAUGH 2008,
512,155,FRISCO CLUB,SOLERNO BLOOD ORANGE LIQUEUR,LIQUEUR (BLOOD ORANGE),0.5,"twist) with ice, then strain into a coupe. Squeeze","This is a riff on the classic Pegu Club cocktail,",
513,155,FRISCO CLUB,FERNET-BRANCA,AMARO (FERNET),0.25,the grapefruit twist over the drink and discard. No,with Fernet-Branca and grapefruit juice in place,
514,155,FRISCO CLUB,GRAPEFRUIT JUICE,JUICE (GRAPEFRUIT),0.75,garnish.,of the usual bitters and orange curaçao.—TW,
515,155,FRISCO CLUB,LIME JUICE,JUICE (LIME),0.25,,,
516,155,FRISCO CLUB,SIMPLE SYRUP,SYRUP (SIMPLE),0.5,,,
517,155,FRISCO CLUB,GRAPEFRUIT TWIST,TWIST (GRAPEFRUIT),1 twist,,,
518,,,,,,,,
519,155,GIN HOUND,TANQUERAY LONDON DRY GIN,GIN (LONDON DRY),2,"Shake all the ingredients with ice, then strain into",JOAQUÍN SIMÓ 2009,
520,155,GIN HOUND,CELERY JUICE,JUICE (CELERY),0.5,a coupe. No garnish.,Celery is a misunderstood ingredient. People,
521,155,GIN HOUND,LIME JUICE,JUICE (LIME),0.5,,"think of it as bland and characterless, but it’s",
522,155,GIN HOUND,ACACIA HONEY SYRUP,SYRUP (HONEY),0.5,,actually quite intense. This gimlet-style drink is,
523,,,,,,,meant to showcase its big flavor.—JS,
524,,,,,,,,
525,,,,,,,,
526,157,GOOD HUMOR,STRAWBERRY,FRUIT (STRAWBERRY),1 strawberry,GARNISH: 1 STRAWBERRY,BRAD FARRAN 2013,
527,157,GOOD HUMOR,BOLS GENEVER,GIN (GENEVER),1,"In a shaker, gently muddle the strawberry. Add",I wanted to mimic the flavors of a strawberry,
528,157,GOOD HUMOR,BOLS BARREL-AGED GENEVER,GIN (GENEVER),0.5,"the remaining ingredients and shake with ice, then",shortcake ice cream bar. The maltiness of the,
529,157,GOOD HUMOR,ELIJAH CRAIG 12-YEAR BOURBON,WHISKEY (BOURBON),0.5,strain into a double rocks glass filled with crushed,"genever mimics the flavor of the cake, and the",
530,157,GOOD HUMOR,MERLET CRÈME DE FRAISE DES BOIS STRAWBERRY LIQUEUR,LIQUEUR (STRAWBERRY),0.0833335,ice. Garnish with the strawberry and serve with a,intensely flavored strawberry liqueur provides,
531,157,GOOD HUMOR,LEMON JUICE,JUICE (LEMON),0.5,straw.,the fruit.—BF,
532,157,GOOD HUMOR,ORGEAT,SYRUP (ORGEAT),0.5,,,
533,157,GOOD HUMOR,VANILLA SYRUP,SYRUP (VANILLA),0.25,,,
534,157,GOOD HUMOR,HEAVY CREAM,CREAM (HEAVY),0.5,,,
535,,,,,,,,
536,157,GYPSY EYES,GREEN CHARTREUSE,CHARTREUSE (GREEN),rinse,Rinse a coupe with the Chartreuse and dump.,JESSICA GONZALEZ 2009,
537,157,GYPSY EYES,BEEFEATER LONDON DRY GIN,GIN (LONDON DRY),1.5,"Shake the remaining ingredients with ice, then",,
538,157,GYPSY EYES,APEROL,AMARO (APERITIVO),0.5,strain into the coupe. No garnish.,,
539,157,GYPSY EYES,LIME JUICE,JUICE (LIME),0.5,,,
540,157,GYPSY EYES,GRAPEFRUIT JUICE,JUICE (GRAPEFRUIT),0.5,,,
541,157,GYPSY EYES,SIMPLE SYRUP,SYRUP (SIMPLE),0.25,,,
542,,,,,,,,
543,157,GYPSY WEDDING,TOASTED FENNEL SALT RIM,RIM (TOASTED FENNEL SALT),,Rim half of a coupe with toasted fennel salt. In a,JILLIAN VOSE 2012,
544,157,GYPSY WEDDING,GREEN GRAPES,FRUIT (GRAPE),6 grapes,"shaker, muddle the grapes. Add the remaining",,
545,157,GYPSY WEDDING,BOMBAY LONDON DRY GIN,GIN (LONDON DRY),1.5,"ingredients and shake with ice, then double strain",,
546,157,GYPSY WEDDING,KROGSTAD AQUAVIT,LIQUEUR (CARAWAY) (AQUAVIT),0.5,into the coupe. No garnish.,,
547,157,GYPSY WEDDING,VELVET FALERNUM,LIQUEUR (FALERNUM),0.25,,,
548,157,GYPSY WEDDING,LIME JUICE,JUICE (LIME),0.75,,,
549,157,GYPSY WEDDING,GRAPEFRUIT JUICE,JUICE (GRAPEFRUIT),0.5,,,
550,157,GYPSY WEDDING,ACACIA HONEY SYRUP,SYRUP (HONEY),0.5,,,
551,,,,,,,,
552,157,KEW GARDENS COOLER,THIN CUCUMBER WHEELS,VEGETABLE (CUCUMBER),2 wheels,GARNISH: 1 CUCUMBER RIBBON,JOAQUÍN SIMÓ 2009,
553,157,KEW GARDENS COOLER,BEEFEATER 24 GIN,GIN (LONDON DRY),2,"In a shaker, muddle the cucumber wheels. Add",,
554,157,KEW GARDENS COOLER,APEROL,AMARO (APERITIVO),0.5,"the remaining ingredients and short shake with 3,",,
555,157,KEW GARDENS COOLER,GRAPEFRUIT JUICE,JUICE (GRAPEFRUIT),0.75,"ice cubes, then strain into a highball glass filled",,
